file,label,label_id,aug_seed
pk-hfad-1_1.landmarks-mediapipe-world.csv,pk-hfad-1_1,0,-1
pk-hfad-1_1.landmarks-mediapipe-world.csv,pk-hfad-1_1,0,7
pk-hfad-1_1.landmarks-mediapipe-world.csv,pk-hfad-1_1,0,8
pk-hfad-1_1.landmarks-mediapipe-world.csv,pk-hfad-1_1,0,1
pk-hfad-1_1.landmarks-mediapipe-world.csv,pk-hfad-1_1,0,11
pk-hfad-1_1.landmarks-mediapipe-world.csv,pk-hfad-1_1,0,4
pk-hfad-1_1.landmarks-mediapipe-world.csv,pk-hfad-1_1,0,6
pk-hfad-1_1.landmarks-mediapipe-world.csv,pk-hfad-1_1,0,3
pk-hfad-1_10.landmarks-mediapipe-world.csv,pk-hfad-1_10,1,-1
pk-hfad-1_10.landmarks-mediapipe-world.csv,pk-hfad-1_10,1,1005
pk-hfad-1_10.landmarks-mediapipe-world.csv,pk-hfad-1_10,1,1010
pk-hfad-1_10.landmarks-mediapipe-world.csv,pk-hfad-1_10,1,1003
pk-hfad-1_10.landmarks-mediapipe-world.csv,pk-hfad-1_10,1,1008
pk-hfad-1_10.landmarks-mediapipe-world.csv,pk-hfad-1_10,1,1006
pk-hfad-1_10.landmarks-mediapipe-world.csv,pk-hfad-1_10,1,1011
pk-hfad-1_10.landmarks-mediapipe-world.csv,pk-hfad-1_10,1,1007
pk-hfad-1_100.landmarks-mediapipe-world.csv,pk-hfad-1_100,2,-1
pk-hfad-1_100.landmarks-mediapipe-world.csv,pk-hfad-1_100,2,2011
pk-hfad-1_100.landmarks-mediapipe-world.csv,pk-hfad-1_100,2,2001
pk-hfad-1_100.landmarks-mediapipe-world.csv,pk-hfad-1_100,2,2006
pk-hfad-1_100.landmarks-mediapipe-world.csv,pk-hfad-1_100,2,2005
pk-hfad-1_100.landmarks-mediapipe-world.csv,pk-hfad-1_100,2,2009
pk-hfad-1_100.landmarks-mediapipe-world.csv,pk-hfad-1_100,2,2010
pk-hfad-1_100.landmarks-mediapipe-world.csv,pk-hfad-1_100,2,2008
pk-hfad-1_1000.landmarks-mediapipe-world.csv,pk-hfad-1_1000,3,-1
pk-hfad-1_1000.landmarks-mediapipe-world.csv,pk-hfad-1_1000,3,3003
pk-hfad-1_1000.landmarks-mediapipe-world.csv,pk-hfad-1_1000,3,3010
pk-hfad-1_1000.landmarks-mediapipe-world.csv,pk-hfad-1_1000,3,3011
pk-hfad-1_1000.landmarks-mediapipe-world.csv,pk-hfad-1_1000,3,3009
pk-hfad-1_1000.landmarks-mediapipe-world.csv,pk-hfad-1_1000,3,3005
pk-hfad-1_1000.landmarks-mediapipe-world.csv,pk-hfad-1_1000,3,3002
pk-hfad-1_1000.landmarks-mediapipe-world.csv,pk-hfad-1_1000,3,3007
pk-hfad-1_10000.landmarks-mediapipe-world.csv,pk-hfad-1_10000,4,-1
pk-hfad-1_10000.landmarks-mediapipe-world.csv,pk-hfad-1_10000,4,4007
pk-hfad-1_10000.landmarks-mediapipe-world.csv,pk-hfad-1_10000,4,4004
pk-hfad-1_10000.landmarks-mediapipe-world.csv,pk-hfad-1_10000,4,4010
pk-hfad-1_10000.landmarks-mediapipe-world.csv,pk-hfad-1_10000,4,4003
pk-hfad-1_10000.landmarks-mediapipe-world.csv,pk-hfad-1_10000,4,4011
pk-hfad-1_10000.landmarks-mediapipe-world.csv,pk-hfad-1_10000,4,4006
pk-hfad-1_10000.landmarks-mediapipe-world.csv,pk-hfad-1_10000,4,4002
pk-hfad-1_100000.landmarks-mediapipe-world.csv,pk-hfad-1_100000,5,-1
pk-hfad-1_100000.landmarks-mediapipe-world.csv,pk-hfad-1_100000,5,5011
pk-hfad-1_100000.landmarks-mediapipe-world.csv,pk-hfad-1_100000,5,5008
pk-hfad-1_100000.landmarks-mediapipe-world.csv,pk-hfad-1_100000,5,5007
pk-hfad-1_100000.landmarks-mediapipe-world.csv,pk-hfad-1_100000,5,5005
pk-hfad-1_100000.landmarks-mediapipe-world.csv,pk-hfad-1_100000,5,5009
pk-hfad-1_100000.landmarks-mediapipe-world.csv,pk-hfad-1_100000,5,5001
